repetition,fold,mf_set,learner,dataset_id,dataset_name,top1_predicted,SRC,WRC,NDCG@3,Top1Hit,Regret@1,ARI,AMI
16,8,MeanRank,Baseline,1486,nomao,AA,0.7,0.7554744525547444,0.9445904732618082,1.0,0.0,0.04086766471564914,0.04526700211536847
16,8,MeanRank,Baseline,40927,CIFAR_10,AA,0.6,0.45620437956204374,0.8482809311481098,0.0,0.25,0.0014012976196813454,0.012274643809019284
16,8,MeanRank,Baseline,40984,segment,AA,0.49999999999999994,0.09854014598540149,0.8891809465236166,0.0,0.5,0.2380499554657123,0.568969822423365
16,8,MeanRank,Baseline,41027,jungle_chess_2pcs_raw_endgame_complete,AA,0.0,0.0,1.0,1.0,0.5,0.01460872894085777,0.009708423385178813
16,8,MajorityRank,Baseline,1063,kc2,AA,0.8720815992723809,0.8315841857951101,1.0,1.0,0.0,0.010984047608653732,0.007972830738550254
16,8,MajorityRank,Baseline,1475,first-order-theorem-proving,AA,0.9999999999999999,1.0,1.0,1.0,0.0,-0.010213816714483709,0.010904568823280836
16,8,MajorityRank,Baseline,1486,nomao,AA,0.7,0.7554744525547444,0.9445904732618082,1.0,0.0,0.04086766471564914,0.04526700211536847
16,8,MajorityRank,Baseline,40927,CIFAR_10,AA,0.6,0.45620437956204374,0.8482809311481098,0.0,0.25,0.0014012976196813454,0.012274643809019284
16,8,MajorityRank,Baseline,40984,segment,AA,0.49999999999999994,0.09854014598540149,0.8891809465236166,0.0,0.5,0.2380499554657123,0.568969822423365
16,8,MajorityRank,Baseline,41027,jungle_chess_2pcs_raw_endgame_complete,AA,0.0,0.0,1.0,1.0,0.5,0.01460872894085777,0.009708423385178813
16,8,Distance,kNN,1063,kc2,AA,0.9746794344808963,0.9503819266229829,1.0,1.0,0.0,0.010984047608653732,0.007972830738550254
16,8,Distance,kNN,1475,first-order-theorem-proving,KM,0.7999999999999999,0.5729927007299269,0.9590999846244933,0.0,0.25,0.03597890570995061,0.03686692365053983
